招標類型,公告日期,機關名稱,標案案號,標案名稱,採購性質,截止投標,預算金額,連結
招標公告,115/09/07,國立虎尾科技大學,1150821,匯流排彈性電軌系統,財物類,115/09/14,"300,000",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEzMjExMzI=
招標公告,115/09/07,台灣電力股份有限公司塔山發電廠,3911500030,塔山電廠(含分廠)匯流排及線路電驛更換工作,勞務類,115/09/14,"8,498,910",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEzMTkxMjc=
招標公告,115/08/27,台灣電力股份有限公司台北供電區營運處,4701500065,區營業處匯流排及變壓器保護電驛汰換,勞務類,115/09/03,"4,830,000",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEzMTEzODQ=
招標公告,115/08/19,台灣電力股份有限公司塔山發電廠,3911500030,塔山電廠(含分廠)匯流排及線路電驛更換工作,勞務類,115/09/01,"8,498,910",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEzMDUyOTk=
公開徵求,115/09/07,國立虎尾科技大學,1150821,匯流排彈性電軌系統,財物類,115/09/14,"300,000",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEzMjExMzI=
公開徵求,115/09/07,台灣電力股份有限公司塔山發電廠,3911500030,塔山電廠(含分廠)匯流排及線路電驛更換工作,勞務類,115/09/14,"8,498,910",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEzMTkxMjc=
公開徵求,115/08/27,台灣電力股份有限公司台北供電區營運處,4701500065,區營業處匯流排及變壓器保護電驛汰換,勞務類,115/09/03,"4,830,000",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEzMTEzODQ=
公開徵求,115/08/19,台灣電力股份有限公司塔山發電廠,3911500030,塔山電廠(含分廠)匯流排及線路電驛更換工作,勞務類,115/09/01,"8,498,910",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEzMDUyOTk=
公開閱覽,115/09/07,國立虎尾科技大學,1150821,匯流排彈性電軌系統,財物類,115/09/14,"300,000",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEzMjExMzI=
公開閱覽,115/09/07,台灣電力股份有限公司塔山發電廠,3911500030,塔山電廠(含分廠)匯流排及線路電驛更換工作,勞務類,115/09/14,"8,498,910",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEzMTkxMjc=
公開閱覽,115/08/27,台灣電力股份有限公司台北供電區營運處,4701500065,區營業處匯流排及變壓器保護電驛汰換,勞務類,115/09/03,"4,830,000",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEzMTEzODQ=
公開閱覽,115/08/19,台灣電力股份有限公司塔山發電廠,3911500030,塔山電廠(含分廠)匯流排及線路電驛更換工作,勞務類,115/09/01,"8,498,910",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEzMDUyOTk=
政府採購預告,115/09/07,國立虎尾科技大學,1150821,匯流排彈性電軌系統,財物類,115/09/14,"300,000",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEzMjExMzI=
政府採購預告,115/09/07,台灣電力股份有限公司塔山發電廠,3911500030,塔山電廠(含分廠)匯流排及線路電驛更換工作,勞務類,115/09/14,"8,498,910",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEzMTkxMjc=
政府採購預告,115/08/27,台灣電力股份有限公司台北供電區營運處,4701500065,區營業處匯流排及變壓器保護電驛汰換,勞務類,115/09/03,"4,830,000",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEzMTEzODQ=
政府採購預告,115/08/19,台灣電力股份有限公司塔山發電廠,3911500030,塔山電廠(含分廠)匯流排及線路電驛更換工作,勞務類,115/09/01,"8,498,910",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEzMDUyOTk=
