公告日期,機關名稱,標案案號,標案名稱,採購性質,截止投標,預算金額,連結
115/04/13,衛生福利部臺中醫院,TH115061,動力中心空調設備電力匯流排汰換案,工程類,115/04/16,"733,525",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzExOTM1OTU=
115/04/09,台灣電力股份有限公司輸變電工程處南區施工處,6561551004,嘉義P/S匯流排、鐵構、電力電纜及控制電纜拆卸及延放安裝工程,工程類,115/04/14,"18,000,000",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzExODg3Mzc=
115/04/02,台灣電力股份有限公司第三核能發電廠,3521500047,核三廠大型變壓器及附屬匯流排維護工作,勞務類,115/04/09,"16,695,000",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzExODU0MDk=
115/04/01,衛生福利部臺中醫院,TH115061,動力中心空調設備電力匯流排汰換案,工程類,115/04/07,"733,525",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzExODQ1NjI=
115/03/26,台灣電力股份有限公司輸變電工程處南區施工處,6561551004,嘉義P/S匯流排、鐵構、電力電纜及控制電纜拆卸及延放安裝工程,工程類,115/04/08,"18,000,000",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzExNzk3MTk=
115/03/20,國防部軍醫局,ND15043P024,低壓匯流排汰換更新,財物類,115/03/24,"8,099,988",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzExNzQ1NDg=
115/03/17,台灣電力股份有限公司第二核能發電廠,3511500019,115-116年度BOP設備匯流排清潔檢修工作,勞務類,115/03/24,"9,151,122",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzExNzA1Nzk=
115/03/12,國防部軍醫局,ND15043P024,低壓匯流排汰換更新,財物類,115/03/18,"8,099,988",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzExNjc5MTg=
115/03/10,台灣電力股份有限公司第三核能發電廠,3521500047,核三廠大型變壓器及附屬匯流排維護工作,勞務類,115/03/30,"16,695,000",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzExNjM2MTQ=
