招標類型,公告日期,機關名稱,標案案號,標案名稱,採購性質,截止投標,預算金額,連結
招標公告,115/08/04,新北大眾捷運股份有限公司,08A1507B078,絕緣閘極雙極性電晶體(推進功率IGBT)採購,財物類,115/08/10,"396,480",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyOTEwMjY=
招標公告,115/07/29,臺北大眾捷運股份有限公司,C15A04352,絕緣閘極雙極性電晶體採購,財物類,115/08/03,,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyODgwNDA=
公開徵求,115/08/04,新北大眾捷運股份有限公司,08A1507B078,絕緣閘極雙極性電晶體(推進功率IGBT)採購,財物類,115/08/10,"396,480",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyOTEwMjY=
公開徵求,115/07/29,臺北大眾捷運股份有限公司,C15A04352,絕緣閘極雙極性電晶體採購,財物類,115/08/03,,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyODgwNDA=
公開閱覽,115/08/04,新北大眾捷運股份有限公司,08A1507B078,絕緣閘極雙極性電晶體(推進功率IGBT)採購,財物類,115/08/10,"396,480",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyOTEwMjY=
公開閱覽,115/07/29,臺北大眾捷運股份有限公司,C15A04352,絕緣閘極雙極性電晶體採購,財物類,115/08/03,,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyODgwNDA=
政府採購預告,115/08/04,新北大眾捷運股份有限公司,08A1507B078,絕緣閘極雙極性電晶體(推進功率IGBT)採購,財物類,115/08/10,"396,480",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyOTEwMjY=
政府採購預告,115/07/29,臺北大眾捷運股份有限公司,C15A04352,絕緣閘極雙極性電晶體採購,財物類,115/08/03,,https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyODgwNDA=
