招標類型,公告日期,機關名稱,標案案號,標案名稱,採購性質,截止投標,預算金額,連結
招標公告,115/08/14,台灣中油股份有限公司煉製事業部桃園煉油廠,I8I15R050,WORTHINGTON壓縮機專用配件,財物類,115/08/26,"4,995,900",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEzMDIxNjQ=
公開徵求,115/08/14,台灣中油股份有限公司煉製事業部桃園煉油廠,I8I15R050,WORTHINGTON壓縮機專用配件,財物類,115/08/26,"4,995,900",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEzMDIxNjQ=
公開閱覽,115/08/14,台灣中油股份有限公司煉製事業部桃園煉油廠,I8I15R050,WORTHINGTON壓縮機專用配件,財物類,115/08/26,"4,995,900",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEzMDIxNjQ=
政府採購預告,115/08/14,台灣中油股份有限公司煉製事業部桃園煉油廠,I8I15R050,WORTHINGTON壓縮機專用配件,財物類,115/08/26,"4,995,900",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEzMDIxNjQ=
